id,title,search_all,grouping,activity_type_id,description,session_type,grouping_id,activity_type,start_date
29,Internal Medicine 2000,"Internal Medicine 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  01/12/2000  2000  01  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-01-12T05:00:00Z
30,Determinants of Daytime Sleepiness,"Determinants of Daytime Sleepiness Regularly Scheduled Series RSS Live   01/12/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-12T05:00:00Z
31,"Chronic, Daily Headaches in Children","Chronic, Daily Headaches in Children Regularly Scheduled Series RSS Live   01/12/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-12T05:00:00Z
32,Nasal Granulomatous Diseases,"Nasal Granulomatous Diseases Regularly Scheduled Series RSS Live   01/12/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-12T05:00:00Z
33,Psychiatry Grand Rounds,"Psychiatry Grand Rounds Regularly Scheduled Series RSS Live   01/12/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-12T05:00:00Z
34,Surgical Grand Rounds,"Surgical Grand Rounds Regularly Scheduled Series RSS Live   01/12/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-12T05:00:00Z
35,The Role of Serum Phosphate Control in Secondary Hyperparathyroidism among Hemodialysis,"The Role of Serum Phosphate Control in Secondary Hyperparathyroidism among Hemodialysis Regularly Scheduled Series RSS Live   01/14/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-14T05:00:00Z
36,Ophthalmology 2000,"Ophthalmology 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  01/15/2000  2000  01  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-01-15T05:00:00Z
37,Orbital Disease and Plastic Surgery Case Conference,"Orbital Disease and Plastic Surgery Case Conference Regularly Scheduled Series RSS Live   01/15/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-15T05:00:00Z
38,Injuries to the Acromioclavicular Joint,"Injuries to the Acromioclavicular Joint Regularly Scheduled Series RSS Live   01/15/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-15T05:00:00Z
39,Membranous Glomerulonephritis,"Membranous Glomerulonephritis Regularly Scheduled Series RSS Live   01/18/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-18T05:00:00Z
40,Perioperative Services - Facility Planning and Design Issues,"Perioperative Services - Facility Planning and Design Issues Regularly Scheduled Series RSS Live   01/19/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-19T05:00:00Z
41,What's new in neuromuscular blocking agents,"What's new in neuromuscular blocking agents Regularly Scheduled Series RSS Live   01/19/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-19T05:00:00Z
42,EM Ultrasound Tutorial,"EM Ultrasound Tutorial Regularly Scheduled Series RSS Live   01/19/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-19T05:00:00Z
43,General Internal Medicine 2000,"General Internal Medicine 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  01/19/2000  2000  01  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-01-19T05:00:00Z
44,Transient Visual Phenomena,"Transient Visual Phenomena Regularly Scheduled Series RSS Live   01/19/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-19T05:00:00Z
45,Small BowelTumor,"Small BowelTumor Regularly Scheduled Series RSS Live   01/19/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-19T05:00:00Z
46,Left Ventricular Assist in End-Stage Heart Failure,"Left Ventricular Assist in End-Stage Heart Failure Regularly Scheduled Series RSS Live   01/19/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-19T05:00:00Z
47,Measuring Cortical Excitability in Neuro-behavioral Disorders,"Measuring Cortical Excitability in Neuro-behavioral Disorders Regularly Scheduled Series RSS Live   01/19/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-19T05:00:00Z
48,Lacrimal Sac Problems,"Lacrimal Sac Problems Regularly Scheduled Series RSS Live   01/19/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-19T05:00:00Z
49,Endoscopic Resection of Pituitary Tumors,"Endoscopic Resection of Pituitary Tumors Regularly Scheduled Series RSS Live   01/19/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-19T05:00:00Z
50,The Ethics of Psychiatric Symptom,"The Ethics of Psychiatric Symptom Regularly Scheduled Series RSS Live   01/19/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-19T05:00:00Z
51,Surgical Grand Rounds,"Surgical Grand Rounds Regularly Scheduled Series RSS Live   01/19/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-19T05:00:00Z
52,Detecting Hazardous Drinking in Primary Care Settings,"Detecting Hazardous Drinking in Primary Care Settings Regularly Scheduled Series RSS Live   01/21/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-21T05:00:00Z
53,Hematology/Oncology Grand Rounds,"Hematology/Oncology Grand Rounds Regularly Scheduled Series RSS Live   01/21/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-21T05:00:00Z
54,Ethics in Research,"Ethics in Research Regularly Scheduled Series RSS Live   01/21/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-21T05:00:00Z
55,ACL Reconstruction in the Adolescent,"ACL Reconstruction in the Adolescent Regularly Scheduled Series RSS Live   01/22/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-22T05:00:00Z
56,Abusive Infant Head Trauma,"Abusive Infant Head Trauma Regularly Scheduled Series RSS Live   01/24/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-24T05:00:00Z
57,Ethics in Research,"Ethics in Research Regularly Scheduled Series RSS Live   01/24/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-24T05:00:00Z
58,Anesthesia for Patients with Epidermolysis,"Anesthesia for Patients with Epidermolysis Regularly Scheduled Series RSS Live   01/26/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-26T05:00:00Z
59,Lung Ca./Non-Hodgkin's Lymphoma,"Lung Ca./Non-Hodgkin's Lymphoma Regularly Scheduled Series RSS Live   01/26/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-26T05:00:00Z
60,The Tao of Antibiotics,"The Tao of Antibiotics Regularly Scheduled Series RSS Live   01/26/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-26T05:00:00Z
61,Deciding When to Start and Stop Antiepileptic Drugs:  Weighing the Evidence,"Deciding When to Start and Stop Antiepileptic Drugs:  Weighing the Evidence Regularly Scheduled Series RSS Live   01/26/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-26T05:00:00Z
62,Anterior Ischemic Optic Neuropathy,"Anterior Ischemic Optic Neuropathy Regularly Scheduled Series RSS Live   01/26/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-26T05:00:00Z
63,Gender Identity Disorders in Adulthood,"Gender Identity Disorders in Adulthood Regularly Scheduled Series RSS Live   01/26/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-26T05:00:00Z
64,Surgical Grand Rounds,"Surgical Grand Rounds Regularly Scheduled Series RSS Live   01/26/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-26T05:00:00Z
65,Hyperbaric Oxygen for Traumatic Brain Injury,"Hyperbaric Oxygen for Traumatic Brain Injury Regularly Scheduled Series RSS Live   01/28/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-28T05:00:00Z
66,Total Elbow Replacements,"Total Elbow Replacements Regularly Scheduled Series RSS Live   01/29/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-29T05:00:00Z
67,Ethics in Research,"Ethics in Research Regularly Scheduled Series RSS Live   01/31/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-31T05:00:00Z
68,Vaporizers - Ancient to Modern or How We Got Here From There,"Vaporizers - Ancient to Modern or How We Got Here From There Regularly Scheduled Series RSS Live   02/02/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-02T05:00:00Z
69,Prevention of Colorectal Cancer,"Prevention of Colorectal Cancer Regularly Scheduled Series RSS Live   02/02/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-02T05:00:00Z
70,Guillain Barre Syndrome,"Guillain Barre Syndrome Regularly Scheduled Series RSS Live   02/02/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-02T05:00:00Z
71,Cataract Surgery Case Conference,"Cataract Surgery Case Conference Regularly Scheduled Series RSS Live   02/02/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-02T05:00:00Z
72,Clinical Uses of Botox,"Clinical Uses of Botox Regularly Scheduled Series RSS Live   02/02/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-02T05:00:00Z
73,The Varieties of the Schizophrenia's,"The Varieties of the Schizophrenia's Regularly Scheduled Series RSS Live   02/02/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-02T05:00:00Z
74,Surgical Grand Rounds,"Surgical Grand Rounds Regularly Scheduled Series RSS Live   02/02/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-02T05:00:00Z
75,Hematology/Oncology Grand Rounds,"Hematology/Oncology Grand Rounds Regularly Scheduled Series RSS Live   02/04/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-04T05:00:00Z
76,Hepatitis C,"Hepatitis C Regularly Scheduled Series RSS Live   02/07/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-07T05:00:00Z
77,Perinatal Autopsy,"Perinatal Autopsy Regularly Scheduled Series RSS Live   02/07/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-07T05:00:00Z
78,Ethics in Research,"Ethics in Research Regularly Scheduled Series RSS Live   02/07/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-07T05:00:00Z
79,Prevention of Osteopororotic fractures in primary care: Patient outcomes and quality of care,"Prevention of Osteopororotic fractures in primary care: Patient outcomes and quality of care Regularly Scheduled Series RSS Live   02/09/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-09T05:00:00Z
80,Postanoxic Myoclonus,"Postanoxic Myoclonus Regularly Scheduled Series RSS Live   02/09/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-09T05:00:00Z
81,Cataracts and Glaucoma A New Perspective,"Cataracts and Glaucoma A New Perspective Regularly Scheduled Series RSS Live   02/09/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-09T05:00:00Z
82,Updates on the Use of Antimetabolites in Filtration Surgery,"Updates on the Use of Antimetabolites in Filtration Surgery Regularly Scheduled Series RSS Live   02/09/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-09T05:00:00Z
83,Importance of Voice Analysis and Measurement to Patient Management,"Importance of Voice Analysis and Measurement to Patient Management Regularly Scheduled Series RSS Live   02/09/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-09T05:00:00Z
84,This and That About Psychotherapy,"This and That About Psychotherapy Regularly Scheduled Series RSS Live   02/09/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-09T05:00:00Z
85,Medication Errors and Adverse Drug Events,"Medication Errors and Adverse Drug Events Regularly Scheduled Series RSS Live   02/11/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-11T05:00:00Z
86,Hematology/Oncology Grand Rounds,"Hematology/Oncology Grand Rounds Regularly Scheduled Series RSS Live   02/11/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-11T05:00:00Z
87,Starting and Stopping Antiepileptic Drugs:  An Evidence-based Analysis,"Starting and Stopping Antiepileptic Drugs:  An Evidence-based Analysis Regularly Scheduled Series RSS Live   02/11/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-11T05:00:00Z
88,Flexible Flatfoot,"Flexible Flatfoot Regularly Scheduled Series RSS Live   02/12/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-12T05:00:00Z
89,Radiation-Induced Thyroid Carcinoma,"Radiation-Induced Thyroid Carcinoma Regularly Scheduled Series RSS Live   02/14/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-14T05:00:00Z
90,Ethics in Research,"Ethics in Research Regularly Scheduled Series RSS Live   02/14/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-14T05:00:00Z
91,Prolonged Q-T Syndrome,"Prolonged Q-T Syndrome Regularly Scheduled Series RSS Live   02/16/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-16T05:00:00Z
92,Why Does Managed Care Do What it Does,"Why Does Managed Care Do What it Does Regularly Scheduled Series RSS Live   02/16/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-16T05:00:00Z
93,Colon Cancer,"Colon Cancer Regularly Scheduled Series RSS Live   02/16/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-16T05:00:00Z
94,New Perspectives on the Pathogenesis and Treatment of Multiple Sclerosis,"New Perspectives on the Pathogenesis and Treatment of Multiple Sclerosis Regularly Scheduled Series RSS Live   02/16/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-16T05:00:00Z
95,Neuro-Ophthalmology Conference,"Neuro-Ophthalmology Conference Regularly Scheduled Series RSS Live   02/16/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-16T05:00:00Z
96,Anatomic Approaches to Rhytidectomy,"Anatomic Approaches to Rhytidectomy Regularly Scheduled Series RSS Live   02/16/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-16T05:00:00Z
97,Cigarettes and Alcohol:  Insights into a Common Co-Addiction,"Cigarettes and Alcohol:  Insights into a Common Co-Addiction Regularly Scheduled Series RSS Live   02/16/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-16T05:00:00Z
98,Surgical Grand Rounds,"Surgical Grand Rounds Regularly Scheduled Series RSS Live   02/16/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-16T05:00:00Z
99,Drug Hypersensitivity in the 21st Century,"Drug Hypersensitivity in the 21st Century Regularly Scheduled Series RSS Live   02/17/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-17T05:00:00Z
100,OB/GYN 2000,"OB/GYN 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  02/17/2000  2000  02  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-02-17T05:00:00Z
101,OB/GYN Grand Rounds,"OB/GYN Grand Rounds Regularly Scheduled Series RSS Live   02/17/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-17T05:00:00Z
102,Role of Flow Cytometry in Immunophenotyping of Hematologic Malignancies,"Role of Flow Cytometry in Immunophenotyping of Hematologic Malignancies Regularly Scheduled Series RSS Live   02/17/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-17T05:00:00Z
103,Hematology/Oncology Grand Rounds,"Hematology/Oncology Grand Rounds Regularly Scheduled Series RSS Live   02/18/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-18T05:00:00Z
104,Effects of Site of Delivery on Outcome of VLBW Infants,"Effects of Site of Delivery on Outcome of VLBW Infants Regularly Scheduled Series RSS Live   02/18/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-18T05:00:00Z
105,Popliteal Artery Aneurysm in Stroke Patients,"Popliteal Artery Aneurysm in Stroke Patients Regularly Scheduled Series RSS Live   02/18/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-18T05:00:00Z
106,Filling in the Void in Distal Radius Fractures,"Filling in the Void in Distal Radius Fractures Regularly Scheduled Series RSS Live   02/19/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-19T05:00:00Z
107,Ethics in Research,"Ethics in Research Regularly Scheduled Series RSS Live   02/21/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-21T05:00:00Z
108,Case Presentation:  35-Year Old Patient with Chronic Pain,"Case Presentation:  35-Year Old Patient with Chronic Pain Regularly Scheduled Series RSS Live   02/23/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-23T05:00:00Z
109,Attention Deficit Disorder in Adolescence and Adults,"Attention Deficit Disorder in Adolescence and Adults Regularly Scheduled Series RSS Live   02/23/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-23T05:00:00Z
110,"Pediatric Retinal Disease, Stargardt's Disease, Best Vitelliform Macular Dystrophy, Retinal Hemorrha","Pediatric Retinal Disease, Stargardt's Disease, Best Vitelliform Macular Dystrophy, Retinal Hemorrha Regularly Scheduled Series RSS Live   02/23/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-23T05:00:00Z
111,Nonhuman Primate Models of Aggression,"Nonhuman Primate Models of Aggression Regularly Scheduled Series RSS Live   02/23/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-23T05:00:00Z
112,Surgical Grand Rounds,"Surgical Grand Rounds Regularly Scheduled Series RSS Live   02/23/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-23T05:00:00Z
113,Hematology/Oncology Grand Rounds,"Hematology/Oncology Grand Rounds Regularly Scheduled Series RSS Live   02/25/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-25T05:00:00Z
114,Impact of Physician-Patient Interaction on Helath,"Impact of Physician-Patient Interaction on Helath Regularly Scheduled Series RSS Live   02/25/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-25T05:00:00Z
115,Procrit:  Patient Outcomes in Orthopaedic Surgery,"Procrit:  Patient Outcomes in Orthopaedic Surgery Regularly Scheduled Series RSS Live   02/26/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-26T05:00:00Z
116,Endometrial Pathology,"Endometrial Pathology Regularly Scheduled Series RSS Live   02/28/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-28T05:00:00Z
117,Ethics in Research,"Ethics in Research Regularly Scheduled Series RSS Live   02/28/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-28T05:00:00Z
118,Applications of Stent Grafts in the Treatment of Vascular Diseases,"Applications of Stent Grafts in the Treatment of Vascular Diseases Regularly Scheduled Series RSS Live   02/28/2000  2000  02  ",Regularly Scheduled Series,1,,M,2,Live,2000-02-28T05:00:00Z
119,Electroanalgesia,"Electroanalgesia Regularly Scheduled Series RSS Live   03/01/2000  2000  03  ",Regularly Scheduled Series,1,,M,2,Live,2000-03-01T05:00:00Z
120,Neuroendocrine Tumor/Breast Cancer/Recur. Squamous cell ca. skin,"Neuroendocrine Tumor/Breast Cancer/Recur. Squamous cell ca. skin Regularly Scheduled Series RSS Live   03/01/2000  2000  03  ",Regularly Scheduled Series,1,,M,2,Live,2000-03-01T05:00:00Z
121,Chronic Pancreatitis:  Controversies in Treating Pain and Malabsorbtion,"Chronic Pancreatitis:  Controversies in Treating Pain and Malabsorbtion Regularly Scheduled Series RSS Live   03/01/2000  2000  03  ",Regularly Scheduled Series,1,,M,2,Live,2000-03-01T05:00:00Z
122,Retinitis Pigmentosa,"Retinitis Pigmentosa Regularly Scheduled Series RSS Live   03/01/2000  2000  03  ",Regularly Scheduled Series,1,,M,2,Live,2000-03-01T05:00:00Z
123,Obstructive Sleep Apnea in Children,"Obstructive Sleep Apnea in Children Regularly Scheduled Series RSS Live   03/01/2000  2000  03  ",Regularly Scheduled Series,1,,M,2,Live,2000-03-01T05:00:00Z
124,Pharmacotherapy of Cue-Induced Cocaine Craving,"Pharmacotherapy of Cue-Induced Cocaine Craving Regularly Scheduled Series RSS Live   03/01/2000  2000  03  ",Regularly Scheduled Series,1,,M,2,Live,2000-03-01T05:00:00Z
125,Surgical Grand Rounds,"Surgical Grand Rounds Regularly Scheduled Series RSS Live   03/01/2000  2000  03  ",Regularly Scheduled Series,1,,M,2,Live,2000-03-01T05:00:00Z
126,The Connecticut Thrombolysis for Acute Stroke Study,"The Connecticut Thrombolysis for Acute Stroke Study Regularly Scheduled Series RSS Live   03/02/2000  2000  03  ",Regularly Scheduled Series,1,,M,2,Live,2000-03-02T05:00:00Z
127,Hematology/Oncology Grand Rounds,"Hematology/Oncology Grand Rounds Regularly Scheduled Series RSS Live   03/03/2000  2000  03  ",Regularly Scheduled Series,1,,M,2,Live,2000-03-03T05:00:00Z
128,Disability:  What Happens When you Can't?,"Disability:  What Happens When you Can't? Regularly Scheduled Series RSS Live   03/03/2000  2000  03  ",Regularly Scheduled Series,1,,M,2,Live,2000-03-03T05:00:00Z
129,DDH in the Adult,"DDH in the Adult Regularly Scheduled Series RSS Live   03/04/2000  2000  03  ",Regularly Scheduled Series,1,,M,2,Live,2000-03-04T05:00:00Z
